level,title,start_page,end_page,parent_chapter,major_chapter
5,Teamcenter [on File menu],274,275,Teamcenter [File Menu],9. Plant Simulation User Interface
5,Use Active Workspace,276,276,Teamcenter [File Menu],9. Plant Simulation User Interface
5,Open from Teamcenter,277,278,Teamcenter [File Menu],9. Plant Simulation User Interface
5,Add to Teamcenter,279,280,Teamcenter [File Menu],9. Plant Simulation User Interface
5,Change Environment or Server,281,281,Teamcenter [File Menu],9. Plant Simulation User Interface
5,Check In [Teamcenter],282,282,Teamcenter [File Menu],9. Plant Simulation User Interface
5,Check Out [Teamcenter],283,283,Teamcenter [File Menu],9. Plant Simulation User Interface
5,Cancel Checkout,284,284,Teamcenter [File Menu],9. Plant Simulation User Interface
5,Revise,285,285,Teamcenter [File Menu],9. Plant Simulation User Interface
4,Compare Model Files,286,289,File Menu Commands,9. Plant Simulation User Interface
4,Share [Menu Item],290,292,File Menu Commands,9. Plant Simulation User Interface
5,Share,290,290,Share [Menu Item],9. Plant Simulation User Interface
5,Send Using E-mail,291,291,Share [Menu Item],9. Plant Simulation User Interface
5,Pack and Go,292,292,Share [Menu Item],9. Plant Simulation User Interface
4,Options [Menu Item],293,304,File Menu Commands,9. Plant Simulation User Interface
5,Options,293,293,Options [Menu Item],9. Plant Simulation User Interface
5,Model File Properties,294,294,Options [Menu Item],9. Plant Simulation User Interface
5,Show Model History,295,295,Options [Menu Item],9. Plant Simulation User Interface
5,Encrypt Model File,296,296,Options [Menu Item],9. Plant Simulation User Interface
5,Encrypt Methods,297,297,Options [Menu Item],9. Plant Simulation User Interface
5,Decrypt Methods,298,298,Options [Menu Item],9. Plant Simulation User Interface
5,Restrict Permission,299,300,Options [Menu Item],9. Plant Simulation User Interface
5,Random Number Seed Values,301,302,Options [Menu Item],9. Plant Simulation User Interface
5,Borrow Licenses,303,304,Options [Menu Item],9. Plant Simulation User Interface
4,Model Settings [Menu Item],305,343,File Menu Commands,9. Plant Simulation User Interface
5,Model Settings,305,305,Model Settings [Menu Item],9. Plant Simulation User Interface
5,General Tab,306,314,Model Settings [Menu Item],9. Plant Simulation User Interface
